"ChIJ4YP25le5REgRw5ouctqSSWo","Patrician Academy, Mallow, Co Cork","Patrician Academy","48","2","1","0","2","1","1","13","0","0","0","0","0","0","0","0","13","0","1","0","1","0","4","0","0","1","0","0","2","0","0","1","43","0.896",
"ChIJ4z5Am3r4Z0gR6xqbwOkWn60","Bunclody Vocational School, Irish Street, Bunclody, Co. Wexford","Bunclody Vocational College","24","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","8","0.333",
"ChIJ4zlDdhL9W0gR0PIxl6nHAAo","Scoil Cnocán Mhichil Naofa, Clár Chlainne Mhuiris, Co. Mhaigh Eo","Claremorris","80","5","8","6","6","4","20","0","0","0","0","0","0","1","0","1","0","2","9","0","0","4","1","0","1","2","0","0","2","0","1","0","73","0.912",
"ChIJ4zrSSlI9X0gRlaybgy5BVFQ","Coláiste na Carraige, An Charraig, Dun Na Ngall","Coláiste na Carraige","53","4","1","5","2","0","4","0","2","0","0","0","0","1","0","0","0","4","2","0","0","13","0","6","1","1","1","0","0","0","0","0","47","0.887",
"ChIJ50sGMByQREgRrMWWXktMoNg","Deerpark C.B.S., St. Patrick's Road, Cork","Deerpark C.B.S.","29","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","10","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","21","0.724",
"ChIJ54H_QZdNWUgRJ9AX3UEp5-Q","Scoil Muire Agus Padraig, Swinford, Co.Mayo","Scoil Muire agus Padraig","46","1","1","4","2","2","13","1","0","0","0","0","0","1","0","2","0","0","2","0","1","12","0","0","0","0","0","0","1","0","0","0","43","0.935",
"ChIJ57gofzfxREgR3Qa6ey4ooPs","Coláiste na Toirbhirte, Ard Aoibhinn, Bandon, Co Cork","Coláiste na Toirbhirte (Presentation College)","84","3","0","2","0","0","1","38","0","0","0","0","0","0","0","0","22","0","0","0","1","0","1","0","1","2","0","1","1","0","0","0","73","0.869",
"ChIJ5eClWRUOZ0gRr6TcYvl8g04","Plunkett College, Swords Road, Whitehall, Dublin 9","Plunket College","108","2","2","14","0","4","0","0","0","0","0","6","6","0","0","0","0","5","0","1","1","0","0","0","0","0","0","0","1","0","0","0","42","0.389",
"ChIJ5fJKwUidREgRclnLei-f5zs","St Aloysius College, Carrigtwohill, Cork","St Aloysius College","108","5","1","1","0","2","2","56","0","0","0","0","0","0","0","0","22","0","1","0","0","0","0","0","1","4","0","0","5","0","1","0","101","0.935",
"ChIJ5QMaaqH7X0gRiecNBVSaWaQ","Crana College, Buncrana, Co. Donegal","Crana College","81","3","2","1","0","3","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","31","0","0","0","0","0","0","0","0","49","0.605",
"ChIJ5VGaJp-6REgRtIg_Y9ClKH8","Nagle Rice Secondary School, Doneraile, Mallow, Co Cork","Nagle Rice Secondary School","21","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","5","0","2","0","0","0","2","0","2","0","0","0","0","0","0","0","16","0.762",
"ChIJ5wgkLFHfQkgRuR73QxLlPCg","St. Declan's Community College, Kilmacthomas, Co Waterford","St Declans Community College","95","2","2","1","8","0","1","13","0","0","0","0","1","0","0","0","5","0","0","1","1","0","1","0","0","28","0","1","2","0","0","3","70","0.737",
"ChIJ5wwTwiQdXkgRGlX2tLQ7hNk","St Aidan's Comprehensive School, Coothill, Co Cavan","St Aidan's Comprehensive School","70","5","3","4","0","3","1","0","0","0","0","0","0","7","0","2","1","10","2","0","0","7","0","3","1","0","1","1","0","0","0","0","51","0.729",
"ChIJ6-gVxz8_WUgR8pcwh860eWE","St. Tiernan's College, Crossmolina, Ballina, Co Mayo","St. Tiernan's College","31","1","0","0","2","0","2","0","2","0","0","0","0","0","0","0","0","0","3","0","0","5","0","0","0","0","0","0","1","0","0","0","16","0.516",
"ChIJ648Ul5fGQkgRddQW8OsDcKw","Waterpark College, Park Road, Waterford","Waterpark","48","1","1","3","4","1","3","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","17","0","0","0","0","0","0","35","0.729",
"ChIJ696ZlbNEZ0gRq38VSLkgvSY","Loreto Secondary School, St. Michael's, Navan, Co. Meath","Loreto Secondary School","155","20","15","21","0","27","7","7","0","0","0","8","1","12","1","1","0","14","1","3","4","1","1","1","0","2","2","0","0","2","0","0","151","0.974",
"ChIJ6c94VyTEQkgROwUJQxuP6hk","Our Lady of Mercy Sec Sch, Ozanam St, Waterford City","Our Lady of Mercy Secondary School","103","5","2","0","3","1","0","17","1","0","1","0","0","1","0","0","4","1","0","0","0","0","0","0","1","55","0","0","0","0","0","0","92","0.893",
"ChIJ6c9fHnEIZ0gR9GS-i7lijGE","Community School, Cabinteely, Dublin 18","Cabinteely Community School","52","6","0","1","0","1","0","0","0","0","0","0","2","7","3","0","1","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","29","0.558",
"ChIJ6czEyovBX0gR-f6026HZ4Cg","Royal and Prior, Comprehensive School, Raphoe, Lifford","Royal and Prior School Raphoe Co Donegal","72","4","2","3","2","1","6","1","0","2","1","0","0","0","0","1","0","1","2","1","1","2","0","22","0","0","0","1","0","0","0","0","53","0.736",
"ChIJ6exE8wKQREgRt6SP8REj7Z4","Coláiste Chriost Ri, Bothar Ceapmhaoil, Cathair Chorcai","Colaiste Chriost Ri","93","0","0","0","1","0","0","26","0","0","0","0","0","0","0","0","48","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","78","0.839",
"ChIJ6fclDJEOZ0gRzisvsLddjNo","Christian Brothers Westland Row, Westland Row, Dublin 2","CBS Westland Row","13","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.308",
"ChIJ6Vm4FS70REgRphK181IGUmM","Bandon Grammar School, Bandon, Co Cork","Bandon Grammar School","97","4","5","1","4","0","5","24","0","0","0","0","0","2","0","1","17","0","2","2","2","0","3","0","0","0","1","1","0","0","0","1","75","0.773",
"ChIJ6WgzMVxdXUgRcI4AHqcQOXA","Presentation College, Carlow","Presentation College Carlow","85","2","1","2","0","3","2","2","1","0","1","0","0","2","0","0","0","0","3","1","22","0","0","0","1","7","0","0","0","1","0","0","51","0.6",
"ChIJ6WJcGmQ1RUgRfzYwl2PgcWw","Coláiste Ide, An Daingean, Tra Li, Co Chiarrai","Tralee","12","0","1","1","2","0","3","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","1.167",
"ChIJ6xig1bptZ0gRmVO7lvyOLqY","St. Peter's College, Dunboyne, Co. Meath","St. Peter's College","174","18","23","27","0","33","0","1","0","0","3","6","2","32","2","1","1","1","2","0","1","0","0","0","0","1","1","0","0","2","0","0","157","0.902",
"ChIJ6zfn0yadZ0gR5k_880-xu9g","Community College, Blessington, Naas Road, Co. Wicklow","Blessington Community College","45","2","1","0","1","1","0","1","0","0","0","0","0","13","6","0","0","0","0","0","5","0","0","1","0","1","0","0","0","0","0","0","32","0.711",
"ChIJ71duch4uQ0gRjv6EI5Wf07Q","Loreto Secondary School, Clonmel, Co Tipperary","Loreto Secondary School","85","4","4","2","11","2","1","20","0","0","0","0","0","4","0","0","5","0","0","0","1","0","0","0","2","21","0","0","15","0","0","0","92","1.082",
"ChIJ7csHZUIOZ0gRJKCA10az3Q8","Rosmini Community School, O'Donnell House, All Hallows College, Gracepark Road","Rosmini Community School","23","1","0","2","0","1","0","0","0","0","0","4","1","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","14","0.609",
