"ChIJ4wQpvrRxZ0gRnyyorotH-Ss","Salesian College, Maynooth Road, Celbridge ","Salesian College","111","6","5","4","3","38","0","0","0","0","0","5","2","26","6","1","1","0","0","2","2","0","0","0","1","0","0","0","0","1","0","1","0","104","0.94",
"ChIJ4YP25le5REgRw5ouctqSSWo","Patrician Academy, Mallow","Patrician Academy","59","0","0","0","13","0","0","13","0","0","0","0","0","1","0","1","18","0","0","0","1","0","1","0","3","1","0","0","0","0","0","0","0","52","0.88",
"ChIJ4z5Am3r4Z0gR6xqbwOkWn60","Bunclody Vocational School, Irish Street, Bunclody ","Bunclody Vocational College","28","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","3","0","0","0","0","0","0","0","15","0.54",
"ChIJ4zlDdhL9W0gR0PIxl6nHAAo","Scoil Cnocán Mhichil Naofa, Clár Chlainne Mhuiris ","Claremorris","92","8","5","2","10","4","17","0","3","0","0","0","2","3","0","2","0","0","10","0","0","3","1","1","2","0","0","6","0","0","1","0","0","80","0.87",
"ChIJ4zrSSlI9X0gRlaybgy5BVFQ","Coláiste na Carraige, An Charraig, Dun na Ngall","Coláiste na Carraige","48","5","5","4","0","5","8","0","0","0","0","0","0","3","0","0","0","0","3","0","0","4","0","6","0","1","1","0","1","0","0","0","0","46","0.96",
"ChIJ50sGMByQREgRrMWWXktMoNg","Deerpark C.B.S., St. Patrick’s Road, Cork","Deerpark C.B.S.","33","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0.39",
"ChIJ51Dcp41cW0gRslpvo9abeMo","*Villier’s School, North Circular Road, Limerick City ","Villiers Secondary School","86","6","5","0","23","0","7","8","0","0","0","1","0","1","0","1","1","0","3","0","0","0","0","0","15","2","0","2","0","0","0","0","0","75","0.87",
"ChIJ54H_QZdNWUgRJ9AX3UEp5-Q","Scoil Muire agus Padraig, Swinford, Co.Mayo ","Scoil Muire agus Padraig","49","1","0","6","4","1","3","2","0","0","0","0","1","0","0","3","0","0","9","0","2","10","0","0","0","0","0","2","0","0","0","0","0","44","0.9",
"ChIJ57gofzfxREgR3Qa6ey4ooPs","Coláiste na Toirbhirte, Ard Aoibhinn, Bandon","Coláiste na Toirbhirte (Presentation College)","53","1","0","0","5","0","0","17","0","0","0","0","0","1","0","0","14","0","0","0","0","1","0","0","1","1","0","3","0","1","0","0","0","45","0.85",
"ChIJ5eClWRUOZ0gRr6TcYvl8g04","Plunket College","Plunket College","82","3","2","8","0","3","0","0","0","0","0","8","3","1","0","0","0","3","0","0","0","0","0","0","0","2","1","0","0","0","1","3","0","38","0.46",
"ChIJ5fJKwUidREgRclnLei-f5zs","St Aloysius College, Carrigtwohill, Cork","St Aloysius College","119","5","2","0","3","0","4","45","0","0","0","0","0","1","0","0","25","0","0","1","0","0","1","0","1","4","0","6","0","0","1","0","0","99","0.83",
"ChIJ5QMaaqH7X0gRiecNBVSaWaQ","Crana College, Buncrana","Crana College","84","1","3","4","2","4","4","0","0","1","5","0","0","1","0","0","0","0","4","0","0","1","1","30","0","0","0","0","0","0","0","0","0","61","0.73",
"ChIJ5VGaJp-6REgRtIg_Y9ClKH8","Nagle Rice Secondary School, Doneraile, Mallow","Nagle Rice Secondary School","35","0","0","1","5","0","0","4","0","0","0","0","0","0","0","0","5","0","1","0","0","0","3","0","3","0","0","2","0","0","1","0","0","25","0.71",
"ChIJ5wgkLFHfQkgRuR73QxLlPCg","St. Declan’s Community College, Kilmacthomas ","St Declans Community College","88","0","1","2","12","0","0","15","0","0","0","0","0","0","0","1","2","0","1","1","1","0","1","0","2","33","1","1","0","0","0","0","0","74","0.84",
"ChIJ5wwTwiQdXkgRGlX2tLQ7hNk","St Aidan’s Comprehensive School, Coothill","St Aidan's Comprehensive School","75","5","1","8","1","4","1","0","1","0","0","0","0","2","0","0","0","9","1","0","0","8","1","1","0","0","0","0","0","0","0","0","0","43","0.57",
"ChIJ6-gVxz8_WUgR8pcwh860eWE","St. Tiernan’s College, Crossmolina, Ballina ","St. Tiernan's College","19","0","1","0","1","0","0","0","2","0","0","0","0","1","0","1","0","0","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","19","1",
"ChIJ648Ul5fGQkgRddQW8OsDcKw","Waterpark College, Park Road, Waterford ","Waterpark","49","0","2","0","4","1","2","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","20","0","1","0","0","0","0","0","36","0.73",
"ChIJ696ZlbNEZ0gRq38VSLkgvSY","Loreto Secondary School, St. Michael’s, Navan ","Loreto Secondary School","109","12","14","19","2","19","6","2","1","0","0","4","3","12","1","2","0","10","1","1","0","1","0","0","0","0","2","0","2","1","0","0","0","115","1.06",
"ChIJ6c94VyTEQkgROwUJQxuP6hk","Our Lady of Mercy Sec Sch, Ozanam St, Waterford City ","Our Lady of Mercy Secondary School","99","3","1","2","2","2","0","13","0","0","0","0","0","1","0","0","2","0","0","3","0","0","0","0","1","56","0","5","0","0","0","0","0","91","0.92",
"ChIJ6c9fHnEIZ0gR9GS-i7lijGE","Cabinteely Community School","Cabinteely Community School","60","4","2","2","0","1","0","0","0","0","0","1","1","4","1","1","0","0","2","8","1","0","0","0","0","0","0","0","0","0","1","1","0","30","0.5",
"ChIJ6czEyovBX0gR-f6026HZ4Cg","Royal and Prior, Comprehensive School, Raphoe, Lifford","Royal and Prior School Raphoe Co Donegal","104","2","0","6","3","2","6","0","2","0","6","0","0","1","0","0","0","0","1","0","0","1","0","34","0","0","0","0","0","0","0","0","0","64","0.62",
"ChIJ6exE8wKQREgRt6SP8REj7Z4","Coláiste Chríost Rí, Bothar Ceapmhaoil, Cathair Chorcai","Colaiste Chriost Ri","92","0","1","0","1","0","1","38","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","76","0.83",
"ChIJ6fclDJEOZ0gRzisvsLddjNo","C.B.S. Westland Row","CBS Westland Row","17","0","0","1","0","2","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","9","0.53",
"ChIJ6Vm4FS70REgRphK181IGUmM","*Bandon Grammar School, Bandon","Bandon Grammar School","98","6","8","3","6","0","9","31","0","0","0","0","0","0","0","0","23","0","1","0","1","0","6","0","1","1","0","1","0","1","1","0","0","99","1.01",
"ChIJ6WgzMVxdXUgRcI4AHqcQOXA","Presentation College, Carlow","Presentation College Carlow","93","2","4","6","0","7","5","0","0","0","0","1","0","4","0","0","0","0","0","0","30","0","0","0","1","13","0","0","0","0","0","0","0","73","0.78",
"ChIJ6WJcGmQ1RUgRfzYwl2PgcWw","Coláiste Ide, An Daingean, Tra Li ","Tralee","29","5","2","0","4","1","3","0","2","0","0","0","0","0","0","0","1","0","0","0","1","0","4","0","0","0","0","2","0","0","0","0","0","25","0.86",
"ChIJ6xig1bptZ0gRmVO7lvyOLqY","St. Peter’s College, Dunboyne ","St. Peter's College","152","12","14","20","1","38","3","0","0","0","0","12","1","20","3","1","0","0","2","2","1","1","0","1","0","0","3","0","0","1","0","2","0","138","0.91",
"ChIJ6zfn0yadZ0gR5k_880-xu9g","Community College, Blessington, Naas Road ","Blessington Community College","57","2","2","1","1","6","0","0","0","0","0","0","0","6","7","0","0","0","0","0","2","1","0","0","0","1","0","1","0","0","1","0","0","31","0.54",
"ChIJ7csHZUIOZ0gRJKCA10az3Q8","Rosmini Community School","Rosmini Community School","31","3","1","2","0","1","0","0","0","0","0","0","1","4","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1","0","0","18","0.58",
